dia,num_ventas
36,1
37,1
38,1
39,1
40,7
41,3
42,3
43,2
44,3
45,3
46,3
47,3
48,1
49,7
50,1
51,2
52,1
53,1
54,9
55,5
56,13
57,7
58,6
59,3
60,3
61,3
62,2
63,8
64,3
65,3
66,26
67,26
68,2
69,2
70,3
71,3
72,23
73,2
74,2
75,2
76,2
77,2
78,8
79,7
80,1
81,1
82,1
83,1
84,1
85,11
86,6
87,5
88,5
89,3
90,3
91,2
92,2
93,25
94,1
95,1
96,1
97,5
98,7
99,12
100,1
101,1
102,1
103,1
104,1
105,1
106,14
107,3
108,2
109,2
110,2
111,7
112,1
113,11
114,9
115,1
116,1
117,10
118,10
119,17
120,21
121,1
122,4
123,4
124,12
125,4
126,6
127,8
128,8
129,10
130,10
131,5
132,12
133,18
134,3
135,5
136,5
137,5
138,5
139,3
140,11
141,6
142,6
143,3
144,3
145,4
146,6
147,9
148,11
149,1
150,8
151,8
152,10
153,13
154,12
155,3
156,14
157,17
158,17
159,3
160,5
161,14
162,6
163,4
164,4
165,4
166,1
167,6
168,17
169,5
170,10
171,1
172,1
173,9
174,6
175,1
176,12
177,5
178,7
179,7
180,7
181,7
182,9
183,15
184,5
185,17
186,17
187,6
188,6
189,15
190,3
191,4
192,4
193,4
194,2
195,1
196,8
197,4
198,3
199,3
200,3
201,2
202,5
203,2
204,9
205,9
206,6
207,6
208,6
209,3
210,11
211,2
212,6
213,1
214,1
215,5
216,3
217,7
218,3
219,9
220,9
221,9
222,6
223,2
224,3
225,3
226,2
227,2
228,2
229,8
230,2
231,1
232,6
233,2
234,4
235,4
236,1
237,4
238,2
239,6
240,1
241,1
242,1
243,6
244,8
245,12
246,4
247,3
248,5
249,5
250,16
251,8
252,8
253,11
254,1
255,1
256,1
257,1
258,13
259,1
260,11
261,2
262,5
263,5
264,9
265,12
266,4
267,17
268,2
269,3
270,3
271,4
272,12
273,4
274,10
275,15
276,15
277,15
278,5
279,32
280,2
281,8
282,19
283,5
284,5
285,11
286,2
287,9
288,3
289,18
290,18
291,18
292,11
293,14
294,3
295,20
296,2
297,4
298,4
299,5
300,14
