id_cliente,indice,subtotal
37867,1,26115
37867,2,26115
37867,2,10424.92
37867,2,8987
37524,2,30449.76
37524,2,30449.76
37524,2,28594.66
37524,2,23681.05
37524,2,30449.76
37524,2,23681.05
37524,2,30481.61
37524,2,30481.61
37524,2,30481.61
37524,2,30481.61
37524,2,29077.79
37524,2,29077.79
37524,2,13146
37524,2,13546
37884,2,14692.15
37867,2,34395.68
37853,2,576
37884,2,4114.65
37884,2,14692.15
37884,2,14692.15
37884,2,14692.15
460,2,3405.87
460,2,6682.88
460,2,6682.88
460,2,3405.87
460,2,7182.88
460,2,6682.88
460,2,6682.88
37884,2,11942
37884,2,11942
37884,2,11942
460,2,12769.35
230,2,2977
37867,2,34395.66
37884,2,6759.02
103,2,19250
37853,2,5134.41
37853,2,5134.41
37853,2,15990
37884,3,9570.88
37884,3,6553.35
37884,3,11966.48
37884,3,8762.93
37884,3,8762.93
37884,3,8704.79
37884,3,6226.25
37884,3,6226.25
37867,3,13322.43
37524,3,14245
460,3,3405.87
460,3,6682.88
460,3,6682.88
460,3,6682.88
460,3,3405.87
460,3,6682.88
460,3,6682.88
37700,3,12789.7
37524,3,14245
37524,3,14245
37524,3,14245
460,3,12769.35
460,3,12769.35
37700,3,12789.7
37524,3,14245
37524,4,14245
37700,4,12789.7
37700,4,12789.7
37524,4,14245
37884,5,8873.99
37884,5,18869.73
37884,5,6226.25
37884,5,6226.25
37884,5,8873.99
37884,5,8873.99
103,5,19250
103,5,19250
103,5,19250
103,5,19250
103,5,19250
103,5,19250
460,5,12769.35
460,5,12769.35
460,5,2864.85
460,5,2864.85
460,5,19383
37524,5,14245
37867,5,34395.68
3450,5,14100
460,5,2864.85
37700,5,12789.7
103,6,19250
103,6,19250
103,6,19250
103,6,19250
37524,6,14245
37884,6,8873.99
37884,6,6226.25
37884,6,8873.99
37884,6,6226.25
37884,6,8704.79
37884,6,8704.79
37884,6,8050.6
37884,6,8511.29
37884,6,8511.29
37884,6,9570.88
37524,6,14245
37573,6,10680
37573,6,10680
3450,6,18300
37884,6,24317.67
37884,6,24317.67
37884,6,24317.67
37884,6,24317.67
37884,6,24317.67
37884,6,24751.34
37884,6,26433.17
3450,6,14100
460,6,2864.85
460,6,4064.85
460,6,2864.85
460,6,2864.85
37867,6,13322.43
37867,6,10424.92
980,6,13519
37853,6,576
980,6,13519
37524,6,14245
460,6,19383
460,6,2864.85
460,6,2864.85
460,6,2864.85
460,6,2864.85
460,6,2864.85
460,6,2864.85
460,6,3195
460,6,2864.85
37700,6,12789.7
3750,6,13247
37741,6,10296
37741,6,10296
740,6,12477.86
37884,7,6226.25
37884,7,6226.25
37884,7,8704.79
37884,7,8704.79
37884,7,25913.95
37884,7,9570.88
37884,7,21255.2
37884,7,8762.93
37884,7,14431.19
103,7,19250
103,7,19250
103,7,19250
103,7,19250
37524,7,14245
460,7,3405.87
460,7,3405.87
460,7,6682.88
980,7,14919
460,7,3405.87
460,7,19383
460,7,5405.87
460,7,5405.87
460,7,5405.87
460,7,6682.88
460,7,6682.88
460,7,6682.88
37867,7,34395.68
37700,7,12789.7
103,7,19250
460,7,12769.35
460,7,12769.35
37884,7,26962.05
460,7,2688
460,7,2688
460,7,2864.85
37524,7,14245
980,7,2600
460,7,2864.85
460,7,2864.85
460,7,3195
460,7,2864.85
460,7,2864.85
460,7,2864.85
460,7,2864.85
460,7,2864.85
460,7,2864.85
460,7,2864.85
460,7,12769.35
460,7,2864.85
460,7,3195
460,7,2864.85
460,7,2864.85
460,7,4387.91
460,7,12769.35
103,8,19250
103,8,19250
103,8,19250
460,8,19383
37884,8,6226.25
37884,8,6226.25
37884,8,8704.79
37884,8,8704.79
37884,8,10621.26
37884,8,10621.26
37884,8,9984.63
37884,8,28217.42
37884,8,8762.93
37853,8,450
460,8,4407.21
460,8,6682.88
460,8,6682.88
460,8,3405.87
460,8,3405.87
740,8,5642.07
37969,8,41348.79
37524,8,14245
37884,8,3374.22
460,8,3405.87
460,8,6682.88
37884,8,3405.87
37884,8,5278.17
37884,8,3374.22
37884,8,14692.15
460,8,12769.35
460,8,15256.13
460,8,15256.13
37884,8,3374.22
460,8,15256.13
460,8,15256.13
37884,8,5278.17
37700,8,12789.7
37524,8,23810
103,8,19250
460,8,2864.85
460,8,2864.85
3800,8,12846.88
460,8,2864.85
460,8,2864.85
460,8,3114.85
460,8,2864.85
460,8,2864.85
460,8,2864.85
460,8,3114.85
740,8,5878.07
3800,8,12846.88
740,8,5808.07
3800,8,12846.88
37884,9,8704.79
37884,9,8704.79
37884,9,21255.2
37853,9,5455.31
37953,9,5000
37953,9,5000
37953,9,5000
37953,9,5000
37953,9,5000
37853,9,5000
103,9,19250
103,9,19250
103,9,19250
103,9,19250
37867,9,34395.68
37969,9,6762.27
37969,9,6763.27
37867,9,34395.68
980,9,13519
460,9,3405.87
460,9,3405.87
460,9,12769.35
460,9,3405.87
460,9,6682.88
460,9,6682.88
460,9,6682.88
460,9,6682.88
460,9,6682.88
460,9,6682.88
460,9,12769.35
37700,9,12789.7
460,9,2864.85
460,9,2864.85
460,9,4064.85
103,10,19250
103,10,19250
3450,10,18150
3450,10,24546
37884,10,8873.99
37884,10,6226.25
37884,10,6226.25
37884,10,21255.2
37884,10,9570.88
37884,10,14431.19
37884,10,8762.93
37884,10,8873.99
37884,10,4114.65
37884,10,4114.65
37884,10,4114.65
37884,10,4114.65
37884,10,4114.65
460,10,19383
460,10,19383
460,10,19383
460,10,6682.88
460,10,6682.88
460,10,6682.88
460,10,10282.88
460,10,6682.88
460,10,6682.88
37700,10,12789.7
37700,10,12789.7
37867,10,34395.68
3800,10,12846.88
37853,10,22990
37853,10,4449.82
37700,10,12789.7
37700,10,12789.7
37524,10,26417.4
37524,10,26417.38
37524,10,26417.4
37524,10,28594.64
37524,10,28594.66
37524,10,23681.04
37524,10,29077.79
37524,10,29077.79
37524,10,30481.61
37524,10,30481.61
37524,10,30481.61
37524,10,30481.61
460,10,28169.25
460,10,1844.58
460,10,28169.25
37524,11,14245
37524,11,14245
230,11,16617
230,11,16617
230,11,16617
230,11,16617
230,11,16617
230,11,16617
230,11,16617
230,11,16617
460,11,3114.85
103,12,19250
103,12,19250
103,12,19250
37867,12,8040.66
37867,12,8040.11
37884,12,6226.25
37884,12,6226.25
37884,12,6226.25
37884,12,6226.25
37884,12,8778.49
37884,12,8778.49
37884,12,8511.29
37884,12,8762.93
37884,12,14431.19
37884,12,8511.29
37884,12,14431.19
37884,12,14431.19
37884,12,8762.93
37853,12,5134.41
37653,12,10395
3450,12,14100
3450,12,14100
3450,12,14100
460,12,4110.9
37884,12,12682.42
460,12,4110.9
460,12,3405.87
460,12,6682.88
460,12,4110.9
410,12,11567
37741,12,12927.2
3450,12,14800
3450,12,14100
3450,12,14100
37884,12,6553.35
37884,12,8762.93
37884,12,8778.49
37884,12,8778.49
37884,12,9570.88
37884,12,10621.26
37884,12,10621.26
37884,12,6226.25
37884,12,6226.25
740,12,4008.07
740,12,4008.07
460,12,2688
460,12,2688
103,13,19250
103,13,19250
103,13,19250
3450,13,15300
460,13,3000
460,13,12769.35
460,13,12769.35
460,13,6682.88
460,13,6682.88
460,13,3405.87
460,13,5405.87
460,13,3405.87
37884,13,11942
37884,13,11942
37653,13,10395
460,13,28169.25
37867,13,8040.66
37867,13,8040.66
37953,13,17500
37953,13,16500
37867,13,13478.93
37524,13,15145
3450,13,15300
37741,13,10296
460,13,4064.85
37884,13,3374.22
37884,13,14692.15
37884,13,14692.15
37700,13,12789.7
980,13,13519
37700,13,12789.7
37884,13,9570.88
37884,13,8704.79
37884,13,6553.35
37884,13,6226.25
37884,13,6226.25
37884,13,8762.93
37884,13,8704.79
37524,13,14245
460,13,2688
740,13,12511.48
740,13,12511.48
103,14,21025
103,14,19250
103,14,19250
103,14,19250
37867,14,19970.92
37867,14,19970.92
37853,14,5134.41
3450,14,19955
37884,14,26962.05
37884,14,26962.05
740,14,12511.48
740,14,12511.48
460,14,19383
460,14,19383
460,14,3405.77
460,14,6681.54
460,14,6682.88
460,14,4110.9
460,14,6682.88
3450,14,14600
37853,14,4449.82
460,14,28169.25
37867,14,8040.66
37867,14,8040.66
740,14,5412.07
740,14,5412.07
740,14,5412.07
3450,14,14100
3450,14,14800
460,14,2864.85
460,14,2864.85
460,14,2864.85
37884,14,6226.25
37884,14,6226.25
37884,14,8873.99
37884,14,8873.99
37884,14,8762.93
37884,14,25913.95
37884,14,8511.29
37884,14,8511.29
37884,14,9570.88
37884,14,6553.35
37884,14,8762.93
37867,15,8040.66
37867,15,8040.66
37867,15,26115
37867,15,8040.44
103,15,19250
103,15,19250
103,15,21025
103,15,19250
103,15,21025
740,15,5540.07
740,15,5392.07
740,15,5412.07
460,15,28169.25
37573,15,10080
37524,15,14245
37853,15,4449.82
37853,15,4449.82
